"day","month","year","cases","deaths","country","comul_rate"
14,12,2020,746,6,"Afghanistan",9.01377925
13,12,2020,298,9,"Afghanistan",7.05277624
12,12,2020,113,11,"Afghanistan",6.86876792
11,12,2020,63,10,"Afghanistan",7.13426564
10,12,2020,202,16,"Afghanistan",6.96865815
9,12,2020,135,13,"Afghanistan",6.96340077
8,12,2020,200,6,"Afghanistan",7.09483529
7,12,2020,210,26,"Afghanistan",7.21575505
6,12,2020,234,10,"Afghanistan",7.32616004
5,12,2020,235,18,"Afghanistan",7.11586481
4,12,2020,119,5,"Afghanistan",7.10797874
3,12,2020,202,19,"Afghanistan",7.53645527
2,12,2020,400,48,"Afghanistan",7.00545982
1,12,2020,272,11,"Afghanistan",6.96077208
30,11,2020,0,0,"Afghanistan",6.41663317
29,11,2020,228,11,"Afghanistan",6.8451097
28,11,2020,214,15,"Afghanistan",6.78464983
27,11,2020,0,0,"Afghanistan",6.39560365
26,11,2020,200,12,"Afghanistan",7.34193218
25,11,2020,185,13,"Afghanistan",7.1999829
24,11,2020,246,17,"Afghanistan",6.71367519
23,11,2020,252,8,"Afghanistan",6.655844
22,11,2020,154,12,"Afghanistan",6.20370926
21,11,2020,232,25,"Afghanistan",6.13010593
20,11,2020,282,5,"Afghanistan",5.6727138
19,11,2020,0,0,"Afghanistan",5.03657073
18,11,2020,383,13,"Afghanistan",5.35464227
17,11,2020,65,6,"Afghanistan",4.57392123
16,11,2020,163,9,"Afghanistan",4.65278194
15,11,2020,205,12,"Afghanistan",4.57129254
14,11,2020,66,10,"Afghanistan",4.23219148
13,11,2020,360,14,"Afghanistan",4.47140231
12,11,2020,146,4,"Afghanistan",3.84840269
11,11,2020,0,0,"Afghanistan",3.4646139
10,11,2020,224,12,"Afghanistan",3.76165591
9,11,2020,80,3,"Afghanistan",3.69593865
8,11,2020,126,6,"Afghanistan",3.65650829
7,11,2020,58,2,"Afghanistan",3.53821723
6,11,2020,40,0,"Afghanistan",3.5461033
5,11,2020,121,6,"Afghanistan",3.74588377
4,11,2020,86,4,"Afghanistan",3.78268543
3,11,2020,95,3,"Afghanistan",3.78794281
2,11,2020,132,5,"Afghanistan",3.76691329
1,11,2020,76,0,"Afghanistan",3.57501889
31,10,2020,157,4,"Afghanistan",3.55398937
30,10,2020,123,3,"Afghanistan",3.26483343
29,10,2020,0,0,"Afghanistan",2.94150452
28,10,2020,113,7,"Afghanistan",3.02562261
27,10,2020,199,8,"Afghanistan",2.90207416
26,10,2020,65,3,"Afghanistan",2.71806583
25,10,2020,81,4,"Afghanistan",2.79955524
24,10,2020,61,2,"Afghanistan",2.58663132
23,10,2020,116,4,"Afghanistan",2.45256811
22,10,2020,135,2,"Afghanistan",2.35004918
21,10,2020,88,2,"Afghanistan",2.17392693
20,10,2020,87,5,"Afghanistan",2.10558098
19,10,2020,59,4,"Afghanistan",2.25804502
18,10,2020,68,3,"Afghanistan",2.21861467
17,10,2020,47,4,"Afghanistan",2.05826455
16,10,2020,0,0,"Afghanistan",1.94785956
15,10,2020,32,1,"Afghanistan",1.99254729
14,10,2020,66,0,"Afghanistan",1.94523087
13,10,2020,129,3,"Afghanistan",1.81116766
12,10,2020,96,4,"Afghanistan",1.50361089
11,10,2020,0,0,"Afghanistan",1.25125661
10,10,2020,10,1,"Afghanistan",1.34326078
9,10,2020,77,2,"Afghanistan",1.33274601
8,10,2020,68,1,"Afghanistan",1.1723959
7,10,2020,62,2,"Afghanistan",1.05936222
6,10,2020,145,5,"Afghanistan",1.08302043
5,10,2020,44,0,"Afghanistan",0.78072104
4,10,2020,7,4,"Afghanistan",0.66505866
3,10,2020,5,0,"Afghanistan",0.97524412
2,10,2020,17,0,"Afghanistan",1.08564912
1,10,2020,14,0,"Afghanistan",1.04096138
30,9,2020,15,2,"Afghanistan",1.04884745
29,9,2020,12,3,"Afghanistan",1.11456471
28,9,2020,0,0,"Afghanistan",1.34326078
27,9,2020,35,0,"Afghanistan",1.54041255
26,9,2020,6,2,"Afghanistan",1.54041255
25,9,2020,16,0,"Afghanistan",1.61401588
24,9,2020,25,5,"Afghanistan",1.64556017
23,9,2020,71,2,"Afghanistan",1.64293148
22,9,2020,30,3,"Afghanistan",1.52464041
21,9,2020,0,0,"Afghanistan",1.69813397
20,9,2020,125,4,"Afghanistan",1.89265706
19,9,2020,47,1,"Afghanistan",1.61664457
18,9,2020,0,0,"Afghanistan",1.53515517
17,9,2020,17,0,"Afghanistan",1.65344624
16,9,2020,40,10,"Afghanistan",1.70864874
15,9,2020,99,6,"Afghanistan",1.62715933
14,9,2020,75,0,"Afghanistan",1.45629446
13,9,2020,35,0,"Afghanistan",1.3090878
12,9,2020,34,0,"Afghanistan",1.22496971
11,9,2020,28,0,"Afghanistan",1.16450983
10,9,2020,24,2,"Afghanistan",1.09879257
9,9,2020,26,3,"Afghanistan",1.18028197
8,9,2020,96,3,"Afghanistan",1.11456471
7,9,2020,74,2,"Afghanistan",1.04884745
6,9,2020,20,0,"Afghanistan",0.85432437
