"altura","peso","sexo"
152,44,"male"
157,47,"male"
145,37,"female"
164,49,"male"
149,49,"female"
169,48,"male"
148,37,"female"
165,49,"male"
154,38,"female"
151,44,"male"
145,44,"female"
150,39,"female"
150,45,"female"
163,40,"male"
157,45,"male"
144,29,"female"
161,57,"male"
156,45,"female"
146,39,"male"
149,36,"female"
147,46,"female"
148,34,"male"
162,37,"male"
146,37,"female"
146,40,"female"
153,52,"female"
143,40,"female"
143,40,"female"
148,47,"female"
161,42,"male"
152,38,"male"
163,43,"male"
171,47,"male"
147,33,"female"
148,43,"female"
145,32,"female"
154,44,"male"
144,44,"female"
147,39,"male"
157,48,"male"
166,52,"male"
152,41,"female"
142,52,"female"
159,46,"female"
156,46,"female"
164,52,"male"
152,43,"female"
161,39,"male"
154,43,"female"
145,25,"female"
145,33,"female"
152,39,"male"
164,50,"male"
144,47,"female"
154,46,"male"
143,39,"female"
146,42,"female"
167,39,"male"
158,44,"female"
166,43,"male"
150,41,"female"
148,39,"female"
155,51,"female"
161,43,"male"
162,51,"male"
148,49,"female"
159,49,"male"
149,32,"female"
158,47,"male"
145,43,"female"
157,55,"male"
179,67,"male"
170,46,"male"
146,40,"female"
147,32,"female"
163,47,"female"
152,44,"female"
160,50,"male"
150,43,"female"
143,34,"female"
167,50,"male"
159,47,"male"
155,37,"female"
149,40,"female"
163,49,"male"
152,39,"female"
170,50,"male"
146,28,"female"
159,48,"male"
151,42,"female"
161,54,"male"
170,44,"male"
159,52,"male"
150,39,"female"
153,43,"female"
162,41,"male"
163,52,"male"
149,40,"female"
163,47,"male"
162,49,"male"
145,39,"female"
163,56,"male"
151,37,"female"
150,39,"female"
142,37,"male"
171,45,"male"
157,46,"male"
152,44,"female"
149,48,"male"
147,35,"female"
145,39,"female"
157,38,"male"
154,42,"female"
167,58,"male"
143,40,"female"
152,44,"female"
160,35,"male"
159,46,"male"
150,36,"female"
161,48,"male"
161,39,"male"
149,34,"female"
141,34,"female"
155,43,"male"
142,41,"female"
160,44,"male"
150,40,"female"
156,56,"female"
156,51,"female"
153,35,"female"
167,50,"male"
150,41,"female"
148,36,"female"
159,46,"male"
162,45,"male"
156,47,"female"
159,50,"male"
147,37,"female"
173,57,"male"
166,54,"male"
142,44,"male"
143,34,"female"
152,44,"female"
157,57,"male"
149,47,"female"
157,45,"female"
150,36,"female"
148,44,"female"
153,43,"female"
161,55,"male"
149,46,"female"
163,49,"male"
149,37,"female"
159,43,"male"
150,45,"female"
158,39,"male"
156,45,"female"
149,42,"male"
144,34,"female"
154,51,"female"
157,47,"male"
157,50,"male"
154,31,"female"
168,42,"male"
145,46,"female"
148,45,"female"
149,41,"male"
155,40,"male"
163,49,"male"
157,49,"female"
161,47,"male"
145,35,"female"
144,40,"female"
149,39,"female"
150,45,"female"
166,43,"male"
144,36,"female"
157,48,"male"
154,44,"female"
164,43,"male"
156,46,"female"
154,33,"female"
144,36,"female"
163,45,"male"
146,39,"female"
155,48,"male"
145,38,"female"
147,43,"female"
152,31,"female"
164,55,"male"
166,45,"male"
156,45,"female"
152,44,"male"
140,28,"female"
158,49,"male"
163,49,"male"
151,40,"female"
171,41,"male"
150,42,"female"
164,49,"male"
142,34,"female"
149,40,"female"
146,38,"female"
161,48,"male"
163,51,"male"
145,38,"female"
145,43,"male"
171,57,"male"
159,46,"female"
159,52,"male"
154,43,"female"
160,43,"male"
150,46,"female"
149,38,"female"
143,42,"female"
142,40,"female"
147,42,"female"
163,49,"male"
164,51,"male"
160,40,"male"
154,43,"female"
167,58,"male"
151,35,"male"
148,56,"female"
153,44,"male"
152,43,"male"
155,51,"female"
148,43,"female"
144,29,"male"
144,37,"female"
148,43,"female"
156,50,"male"
150,38,"female"
156,49,"male"
154,40,"female"
157,42,"female"
169,44,"male"
150,52,"female"
160,35,"male"
168,54,"male"
144,32,"female"
145,41,"female"
160,40,"male"
147,43,"male"
164,43,"male"
153,45,"female"
149,38,"male"
160,42,"female"
149,43,"female"
154,49,"female"
150,45,"female"
152,50,"male"
141,34,"male"
158,57,"male"
149,45,"female"
152,53,"male"
155,43,"female"
161,43,"male"
149,43,"female"
161,44,"male"
157,43,"male"
167,53,"male"
157,55,"male"
152,46,"female"
152,42,"female"
162,49,"female"
152,33,"female"
159,46,"male"
142,41,"female"
142,40,"female"
169,57,"male"
160,45,"male"
158,41,"male"
152,41,"female"
156,49,"female"
154,44,"female"
157,41,"male"
156,51,"female"
168,54,"male"
