"ahorro","suscriptor"
202,"Ninguna"
258,"Simple"
213,"Ninguna"
298,"Premium"
305,"Premium"
251,"Simple"
302,"Premium"
300,"Premium"
235,"Ninguna"
256,"Simple"
190,"Ninguna"
264,"Simple"
310,"Premium"
241,"Simple"
188,"Ninguna"
312,"Premium"
206,"Ninguna"
275,"Premium"
304,"Premium"
231,"Simple"
181,"Ninguna"
277,"Premium"
254,"Simple"
211,"Ninguna"
246,"Ninguna"
216,"Ninguna"
314,"Premium"
210,"Ninguna"
259,"Premium"
303,"Premium"
236,"Simple"
191,"Ninguna"
218,"Ninguna"
201,"Ninguna"
259,"Simple"
214,"Ninguna"
271,"Premium"
229,"Simple"
183,"Ninguna"
244,"Simple"
267,"Premium"
237,"Simple"
304,"Premium"
320,"Premium"
192,"Ninguna"
313,"Premium"
193,"Ninguna"
161,"Ninguna"
243,"Ninguna"
191,"Ninguna"
269,"Simple"
205,"Ninguna"
211,"Ninguna"
274,"Simple"
297,"Premium"
256,"Simple"
203,"Ninguna"
232,"Ninguna"
206,"Ninguna"
341,"Premium"
192,"Ninguna"
210,"Simple"
322,"Premium"
181,"Ninguna"
218,"Simple"
198,"Ninguna"
326,"Premium"
238,"Simple"
210,"Ninguna"
247,"Simple"
224,"Ninguna"
201,"Ninguna"
276,"Simple"
346,"Premium"
313,"Premium"
293,"Simple"
295,"Premium"
282,"Premium"
184,"Ninguna"
265,"Simple"
253,"Simple"
249,"Premium"
328,"Premium"
222,"Ninguna"
217,"Ninguna"
225,"Ninguna"
207,"Ninguna"
225,"Ninguna"
348,"Premium"
257,"Premium"
299,"Premium"
288,"Premium"
205,"Ninguna"
274,"Simple"
218,"Ninguna"
278,"Premium"
272,"Simple"
240,"Simple"
339,"Premium"
194,"Ninguna"
300,"Premium"
262,"Premium"
251,"Simple"
294,"Premium"
211,"Ninguna"
290,"Premium"
236,"Simple"
316,"Premium"
332,"Premium"
202,"Simple"
243,"Simple"
278,"Simple"
250,"Simple"
233,"Ninguna"
215,"Simple"
199,"Ninguna"
235,"Simple"
252,"Simple"
285,"Premium"
245,"Simple"
248,"Premium"
248,"Simple"
255,"Simple"
241,"Simple"
310,"Premium"
215,"Ninguna"
180,"Ninguna"
187,"Ninguna"
270,"Simple"
244,"Simple"
241,"Premium"
233,"Simple"
200,"Ninguna"
240,"Simple"
346,"Premium"
292,"Premium"
229,"Simple"
332,"Premium"
285,"Premium"
214,"Ninguna"
263,"Premium"
287,"Premium"
346,"Premium"
232,"Simple"
234,"Simple"
191,"Ninguna"
267,"Simple"
316,"Premium"
253,"Simple"
267,"Simple"
330,"Premium"
193,"Ninguna"
335,"Premium"
327,"Premium"
243,"Simple"
206,"Ninguna"
267,"Simple"
179,"Ninguna"
271,"Simple"
218,"Simple"
245,"Simple"
231,"Simple"
268,"Premium"
219,"Ninguna"
247,"Simple"
337,"Premium"
266,"Simple"
293,"Premium"
196,"Ninguna"
246,"Simple"
264,"Simple"
245,"Simple"
198,"Ninguna"
253,"Simple"
338,"Premium"
270,"Simple"
188,"Ninguna"
306,"Premium"
261,"Premium"
293,"Premium"
185,"Ninguna"
222,"Simple"
164,"Ninguna"
294,"Premium"
265,"Premium"
176,"Ninguna"
225,"Ninguna"
196,"Ninguna"
308,"Premium"
282,"Premium"
292,"Premium"
270,"Simple"
315,"Premium"
335,"Premium"
335,"Premium"
247,"Simple"
310,"Premium"
167,"Ninguna"
272,"Simple"
236,"Simple"
218,"Ninguna"
225,"Ninguna"
302,"Premium"
213,"Ninguna"
284,"Premium"
186,"Ninguna"
232,"Simple"
213,"Simple"
190,"Ninguna"
177,"Ninguna"
247,"Simple"
210,"Ninguna"
197,"Ninguna"
215,"Ninguna"
254,"Simple"
261,"Simple"
277,"Premium"
182,"Ninguna"
186,"Ninguna"
223,"Ninguna"
267,"Premium"
329,"Premium"
306,"Premium"
278,"Premium"
323,"Premium"
225,"Simple"
327,"Premium"
239,"Simple"
235,"Simple"
209,"Ninguna"
248,"Simple"
181,"Ninguna"
173,"Ninguna"
293,"Premium"
163,"Ninguna"
317,"Premium"
260,"Premium"
190,"Ninguna"
301,"Premium"
296,"Premium"
234,"Simple"
330,"Premium"
199,"Ninguna"
310,"Premium"
299,"Premium"
326,"Premium"
239,"Simple"
305,"Premium"
228,"Ninguna"
189,"Simple"
235,"Simple"
188,"Simple"
255,"Simple"
324,"Premium"
231,"Ninguna"
296,"Premium"
229,"Simple"
232,"Simple"
199,"Ninguna"
229,"Ninguna"
192,"Ninguna"
252,"Simple"
237,"Ninguna"
191,"Ninguna"
276,"Simple"
173,"Ninguna"
204,"Simple"
255,"Simple"
235,"Ninguna"
281,"Premium"
198,"Ninguna"
229,"Ninguna"
221,"Simple"
253,"Simple"
336,"Premium"
168,"Ninguna"
227,"Simple"
288,"Simple"
298,"Premium"
158,"Ninguna"
282,"Premium"
233,"Ninguna"
218,"Simple"
188,"Ninguna"
213,"Ninguna"
262,"Simple"
200,"Ninguna"
306,"Premium"
203,"Ninguna"
200,"Simple"
341,"Premium"
315,"Premium"
273,"Simple"
255,"Simple"
232,"Simple"
239,"Ninguna"
246,"Simple"
238,"Simple"
307,"Premium"
290,"Premium"
